员工ID,工号,姓名,所属科室,拟岗位,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好,_summary,所属分组,近期工作任务,手头项目,工作类型,应用领域,工作饱和度,科室周报联动,考试成绩,成绩等级,代码行数,迟到次数,月度加班时长,技能匹配度,经验丰富度,吃苦耐劳度,创新潜力
96,300096,任光,数据开发部,数据研发,38.0,女,本科,3.3,5.5,3.68,0,1,1,2,0,1,7.3,0,0,0,0,0,0,0,0,0,无,2,1,0,1,2,0,0,0,20,是,2,3,1,3,2,5,3,5,4,2,5,1,5,3,2,B,A+,A-,项目管理,烹饪,任光（数据开发部/数据研发） | 女，38.0岁，本科，行龄3.3年 | 绩效3.68分，日均工时7.3h，牵头项目1个 | 最强技能：应用开发能力(5分)、数学与建模理论基础(4分)、算法模型开发能力(3分) | 软技能：学习能力5分/任务拆解能力5分/领导力3分 | 360评价：上级B/同级A+ | 岗位匹配：中(技能均分3.3) | 分组：服务管理组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：83.1%(正常) | 手头项目：长文本智能分析、客服助手日常运维与功能迭代,需求接入组,"[""公共智能体工作站历史数据迁移，完成知识图谱模块的数据校验与比对"", ""实时数据集群历史数据迁移，完成监控告警模块的数据校验与比对"", ""授信政策管理系统数据接口开发，完成向量检索模块的API联调与测试"", ""数据采集工具历史数据迁移，完成缓存层的数据校验与比对""]","[""长文本智能分析"", ""客服助手日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""冷热分离工具"", ""Hadoop集群""]","{""总体饱和度"": 83.1, ""开发/实施占比"": 52.5, ""会议沟通占比"": 18.1, ""文档撰写占比"": 11.8, ""学习提升占比"": 17.5, ""负荷等级"": ""正常""}",,79,良好,10173,1,30.8,48,47,86,54
97,300097,丁彤青,智能平台部,需求分析,24.5,男,硕士,3.2,1.3,4.27,0,1,0,0,1,2,8.0,0,0,0,0,0,0,0,0,0,无,2,0,0,0,0,2,0,0,19,是,3,3,4,1,2,4,5,4,5,3,3,4,3,5,3,B+,A,B+,英语,无,丁彤青（智能平台部/需求分析） | 男，24.5岁，硕士，行龄3.2年 | 绩效4.27分，日均工时8.0h，牵头项目2个 | 最强技能：技术架构设计(5分)、数学与建模理论基础(5分)、营销运营能力(4分) | 软技能：领导力5分/创新思维4分/学习能力3分 | 360评价：上级B+/同级A | 分组：零售应用组 | 工作类型：需求分析/项目管理（含外包管理）/数据分析 | 饱和度：83.2%(正常) | 手头项目：信用卡智能后督、冷热分离工具日常运维与功能迭代,风险模型组,"[""通用办公助手需求评审会议组织，完成任务调度模块的需求澄清与确认"", ""零售客户关系管理用户访谈与痛点分析，输出API网关模块的需求规格说明书"", ""智能外呼分析需求评审会议组织，完成消息队列模块的需求澄清与确认"", ""实时数据集群竞品分析，完成推理服务层的功能对标与差距分析"", ""金牌催收员竞品分析，完成用户权限模块的功能对标与差距分析""]","[""信用卡智能后督"", ""冷热分离工具日常运维与功能迭代""]","[""需求分析"", ""项目管理（含外包管理）"", ""数据分析""]","[""会话式人工智能服务"", ""大模型智能体""]","{""总体饱和度"": 83.2, ""开发/实施占比"": 69.5, ""会议沟通占比"": 24.1, ""文档撰写占比"": 5.4, ""学习提升占比"": 1.0, ""负荷等级"": ""正常""}",,49,不及格,7966,0,14.8,78,69,91,99
98,300098,姜秀英,数据开发部,数据分析,23.4,女,本科,1.8,3.8,3.93,0,0,0,2,1,4,7.9,0,0,0,0,0,0,0,1,1,年度之星,0,0,1,3,1,3,1,0,15,否,2,4,3,4,3,3,3,1,4,5,4,1,3,5,4,B+,A+,B,无,跑步,姜秀英（数据开发部/数据分析） | 女，23.4岁，本科，行龄1.8年 | 绩效3.93分，日均工时7.9h，牵头项目4个 | 最强技能：编程与工程实现(5分)、算法模型开发能力(4分)、SQL开发(4分) | 软技能：领导力5分/学习能力4分/团队合作4分 | 360评价：上级B+/同级A+ | 岗位匹配：中(技能均分3.0) | 分组：管理信息组 | 工作类型：数据分析/开发（含模型、应用、数仓等）/需求分析 | 饱和度：86.1%(饱和) | 手头项目：信雅达POC、East数据质量AI分析、长文本智能分析、客服助手日常运维与功能迭代,数仓开发组,"[""参与极客大赛数据分析专项，完成缓存层的深度挖掘"", ""数据采集工具业务指标体系建设，完成指标计算模块的报表开发"", ""数据脱敏工具A/B测试方案设计，完成任务调度模块的效果评估""]","[""信雅达POC"", ""East数据质量AI分析"", ""长文本智能分析"", ""客服助手日常运维与功能迭代""]","[""数据分析"", ""开发（含模型、应用、数仓等）"", ""需求分析""]","[""实时开发平台""]","{""总体饱和度"": 86.1, ""开发/实施占比"": 53.8, ""会议沟通占比"": 14.9, ""文档撰写占比"": 5.5, ""学习提升占比"": 25.9, ""负荷等级"": ""饱和""}",,61,及格,6042,2,30.4,78,75,86,73
99,300099,孔娜婷,研发管理部,算法工程,31.3,女,硕士,4.6,2.4,3.71,1,1,2,4,2,2,8.4,1,0,0,0,0,0,1,0,1,银雁奖,2,0,0,5,1,0,0,0,18,否,2,3,3,2,5,4,3,3,4,4,2,4,2,3,2,B,A+,B-,演讲,阅读,孔娜婷（研发管理部/算法工程） | 女，31.3岁，硕士，行龄4.6年 | 绩效3.71分，日均工时8.4h，牵头项目2个 | 角色：组长/骨干 | 最强技能：数据模型设计(5分)、数学与建模理论基础(4分)、编程与工程实现(4分) | 软技能：创新思维4分/领导力3分/学习能力2分 | 360评价：上级B/同级A+ | 岗位匹配：高(技能均分4.0) | 分组：分行BP | 工作类型：开发（含模型、应用、数仓等）/数据分析/项目管理（含外包管理） | 饱和度：90.1%(饱和) | 手头项目：尽调报告智能体、冷热分离工具日常运维与功能迭代,标准质量组,"[""参与绿色金融智能体大模型应用POC，完成报表生成模块的场景验证"", ""信用风险监测预警大模型微调训练，完成Prompt管理模块的Prompt工程优化"", ""智能问数助手模型效果评估，完成数据清洗模块的A/B测试与迭代"", ""信用风险监测预警NLP模型部署，完成向量检索模块的推理性能优化""]","[""尽调报告智能体"", ""冷热分离工具日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据分析"", ""项目管理（含外包管理）""]","[""会话式人工智能服务""]","{""总体饱和度"": 90.1, ""开发/实施占比"": 60.4, ""会议沟通占比"": 11.5, ""文档撰写占比"": 7.7, ""学习提升占比"": 20.4, ""负荷等级"": ""饱和""}",,74,良好,10860,4,18.3,77,91,58,73
100,300100,李星波,数据开发部,应用研发,30.8,女,本科,4.0,1.3,3.74,2,1,1,1,0,1,9.6,1,0,0,0,0,0,0,1,1,银雁奖,1,1,1,5,0,1,0,0,23,是,4,4,4,2,3,3,5,3,2,3,4,4,4,5,2,A-,A,A-,编程,跑步,李星波（数据开发部/应用研发） | 女，30.8岁，本科，行龄4.0年 | 绩效3.74分，日均工时9.6h，牵头项目1个 | 角色：组长/骨干 | 最强技能：技术架构设计(5分)、数据分析工具运用能力(4分)、算法模型开发能力(4分) | 软技能：领导力5分/学习能力4分/创新思维4分 | 360评价：上级A-/同级A | 岗位匹配：高(技能均分4.0) | 分组：监管统计组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：108.1%(高负荷) | 手头项目：JSON转代码验证、智能问数二期、Hadoop集群日常运维与功能迭代,应用开发组,"[""参与通用办公助手代码评审，完成数据接入层的技术债务清理"", ""智能尽调助手前端页面开发，完成消息队列模块的交互逻辑优化"", ""离线数据开发性能优化，完成报表生成模块的并发处理能力提升"", ""Kafka消息集群微服务架构升级，完成报表生成模块的服务拆分与治理""]","[""JSON转代码验证"", ""智能问数二期"", ""Hadoop集群日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""信用风险监测预警"", ""长文本智能分析""]","{""总体饱和度"": 108.1, ""开发/实施占比"": 47.6, ""会议沟通占比"": 11.8, ""文档撰写占比"": 5.9, ""学习提升占比"": 34.7, ""负荷等级"": ""高负荷""}",,60,及格,8114,0,32.8,87,43,72,69
101,300101,黄勇一,智能平台部,应用研发,31.3,女,本科,4.2,3.3,3.53,0,1,3,3,1,0,9.0,0,0,0,0,0,0,1,0,0,无,1,1,0,4,1,1,0,0,22,否,2,2,2,3,5,4,3,3,3,4,3,4,4,1,2,B-,B,B,无,摄影,黄勇一（智能平台部/应用研发） | 女，31.3岁，本科，行龄4.2年 | 绩效3.53分，日均工时9.0h，牵头项目0个 | 最强技能：数据模型设计(5分)、编程与工程实现(4分)、SQL开发(3分) | 软技能：创新思维4分/任务拆解能力4分/学习能力3分 | 360评价：上级B-/同级B | 岗位匹配：中(技能均分3.0) | 分组：工具开发组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：82.2%(正常) | 手头项目：火山引擎POC、信雅达POC、大模型客服技改、公共智能体工作站日常运维与功能迭代,AI基础研发组,"[""智能外呼分析前端页面开发，完成知识图谱模块的交互逻辑优化"", ""参与通用办公助手代码评审，完成知识图谱模块的技术债务清理"", ""Hadoop集群后端服务开发，完成知识图谱模块的接口设计与实现""]","[""火山引擎POC"", ""信雅达POC"", ""大模型客服技改"", ""公共智能体工作站日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""智能外呼分析"", ""AI手机银行""]","{""总体饱和度"": 82.2, ""开发/实施占比"": 46.8, ""会议沟通占比"": 10.9, ""文档撰写占比"": 14.4, ""学习提升占比"": 27.9, ""负荷等级"": ""正常""}",,74,良好,2599,2,22.5,98,68,76,76
102,300102,黄飞秋,智能应用一部,测试,31.7,男,本科,2.1,3.1,3.78,0,0,2,2,0,3,7.0,0,0,0,1,1,0,0,0,1,金雁奖,0,0,0,2,0,0,1,0,21,否,4,4,4,3,2,4,5,4,5,4,1,4,3,5,4,A-,B+,B,英语,运动,黄飞秋（智能应用一部/测试） | 男，31.7岁，本科，行龄2.1年 | 绩效3.78分，日均工时7.0h，牵头项目3个 | 角色：内部PM、外部PM | 最强技能：技术架构设计(5分)、数学与建模理论基础(5分)、数据分析工具运用能力(4分) | 软技能：领导力5分/创新思维4分/团队合作4分 | 360评价：上级A-/同级B+ | 分组：工具开发组 | 工作类型：测试/开发（含模型、应用、数仓等）/生产运维 | 饱和度：77.2%(正常) | 手头项目：East数据质量AI分析、综合监管报送日常运维与功能迭代,AI产品运营组,"[""授信政策管理系统自动化测试脚本开发，完成指标计算模块的回归测试覆盖"", ""Hadoop数据仓库测试环境搭建，完成API网关模块的测试数据准备"", ""参与JSON转代码验证灰度发布验证，完成数据接入层的上线 checklist""]","[""East数据质量AI分析"", ""综合监管报送日常运维与功能迭代""]","[""测试"", ""开发（含模型、应用、数仓等）"", ""生产运维""]","[""智能数据血缘分析工具"", ""Kafka消息集群""]","{""总体饱和度"": 77.2, ""开发/实施占比"": 47.8, ""会议沟通占比"": 15.9, ""文档撰写占比"": 11.0, ""学习提升占比"": 25.4, ""负荷等级"": ""正常""}",,64,及格,6214,1,21.9,76,57,91,46
103,300103,张梓,智能应用一部,应用研发,29.4,女,本科,0.2,8.3,2.27,0,0,0,3,1,0,9.5,0,0,0,1,0,0,0,1,2,最佳团队奖,3,1,0,1,0,1,0,0,16,是,3,3,4,3,3,1,1,4,4,4,3,4,1,3,4,A+,A-,B+,数学,跑步,张梓（智能应用一部/应用研发） | 女，29.4岁，本科，行龄0.2年 | 绩效2.27分，日均工时9.5h，牵头项目0个 | 角色：内部PM | 最强技能：营销运营能力(4分)、应用开发能力(4分)、数学与建模理论基础(4分) | 软技能：创新思维4分/团队合作4分/学习能力3分 | 360评价：上级A+/同级A- | 岗位匹配：低-错配风险(技能均分2.5) | 分组：测试管理组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：96.7%(高负荷) | 手头项目：East数据质量AI分析、长文本智能分析日常运维与功能迭代,零售应用组,"[""客户经理超级工作台微服务架构升级，完成指标计算模块的服务拆分与治理"", ""离线数据开发后端服务开发，完成数据接入层的接口设计与实现"", ""智能尽调助手性能优化，完成模型训练层的并发处理能力提升""]","[""East数据质量AI分析"", ""长文本智能分析日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""实时开发平台"", ""统一调度平台""]","{""总体饱和度"": 96.7, ""开发/实施占比"": 60.4, ""会议沟通占比"": 21.3, ""文档撰写占比"": 10.0, ""学习提升占比"": 8.3, ""负荷等级"": ""高负荷""}",,58,不及格,9508,1,35.7,74,60,99,47
104,300104,沈东红,数据开发部,数据研发,37.7,女,硕士,5.4,4.5,3.36,2,0,1,0,1,3,8.4,0,0,0,1,0,0,0,1,0,无,2,0,2,0,1,1,0,0,20,否,3,3,5,1,1,2,3,4,4,4,4,4,3,3,4,B,A,B-,编程,旅游,沈东红（数据开发部/数据研发） | 女，37.7岁，硕士，行龄5.4年 | 绩效3.36分，日均工时8.4h，牵头项目3个 | 角色：内部PM | 最强技能：营销运营能力(5分)、应用开发能力(4分)、数学与建模理论基础(4分) | 软技能：学习能力4分/创新思维4分/团队合作4分 | 360评价：上级B/同级A | 岗位匹配：低-错配风险(技能均分1.3) | 分组：工具开发组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：98.4%(高负荷) | 手头项目：零小海信义贷技改、授信政策知识体系、知识库问答系统日常运维与功能迭代,模型设计组,"[""金牌催收员SQL性能调优，解决缓存层慢查询问题"", ""大模型智能体数据质量检核规则配置，修复数据接入层数据异常"", ""参与极客大赛数据架构评审，输出用户权限模块技术方案"", ""智能外呼分析数据接口开发，完成报表生成模块的API联调与测试"", ""智能外呼分析数据接口开发，完成用户权限模块的API联调与测试""]","[""零小海信义贷技改"", ""授信政策知识体系"", ""知识库问答系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""数据脱敏工具""]","{""总体饱和度"": 98.4, ""开发/实施占比"": 63.6, ""会议沟通占比"": 20.4, ""文档撰写占比"": 13.9, ""学习提升占比"": 2.1, ""负荷等级"": ""高负荷""}",,45,不及格,9760,1,15.0,78,59,51,80
105,300105,曹远艳,信息统计部,项目管理,22.8,男,硕士,2.2,1.1,3.63,1,1,1,2,0,1,8.8,0,0,0,1,0,0,0,0,0,无,0,0,0,5,0,0,0,0,11,是,3,4,2,5,3,5,4,5,4,1,2,4,4,1,3,B,B-,A,数据分析,羽毛球,曹远艳（信息统计部/项目管理） | 男，22.8岁，硕士，行龄2.2年 | 绩效3.63分，日均工时8.8h，牵头项目1个 | 角色：内部PM | 最强技能：SQL开发(5分)、应用开发能力(5分)、算法模型开发能力(4分) | 软技能：创新思维4分/任务拆解能力4分/团队合作3分 | 360评价：上级B/同级B- | 分组：项目管理团队 | 工作类型：项目管理（含外包管理）/其他/需求分析 | 饱和度：87.4%(饱和) | 手头项目：知识库问答体系建设、信用风险监测预警日常运维与功能迭代,监管统计组,"[""尽调报告智能体进度跟踪与风险预警，完成数据清洗模块的周报汇总"", ""火山引擎POC进度跟踪与风险预警，完成数据接入层的周报汇总"", ""零售客户分群项目复盘，输出可视化组件的经验教训与改进措施"", ""组织授信政策知识体系项目例会，完成报表生成模块的会议纪要跟踪""]","[""知识库问答体系建设"", ""信用风险监测预警日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""其他"", ""需求分析""]","[""绿色金融业务管理"", ""数据安全脱敏网关系统""]","{""总体饱和度"": 87.4, ""开发/实施占比"": 56.8, ""会议沟通占比"": 12.7, ""文档撰写占比"": 9.1, ""学习提升占比"": 21.3, ""负荷等级"": ""饱和""}",,65,及格,7603,2,29.0,71,57,61,69
106,300106,薛敏,机构服务团队,项目管理,26.5,女,博士,1.4,2.6,2.95,1,0,0,0,0,3,9.6,0,1,0,0,0,0,0,0,0,无,0,0,0,3,1,2,0,1,21,否,1,2,4,4,4,4,1,4,3,5,5,1,1,3,5,A,A-,A+,写作,旅游,薛敏（机构服务团队/项目管理） | 女，26.5岁，博士，行龄1.4年 | 绩效2.95分，日均工时9.6h，牵头项目3个 | 角色：重点项目成员 | 最强技能：编程与工程实现(5分)、营销运营能力(4分)、SQL开发(4分) | 软技能：学习能力5分/团队合作5分/领导力3分 | 360评价：上级A/同级A- | 分组：测试管理组 | 工作类型：项目管理（含外包管理）/其他/需求分析 | 饱和度：107.9%(高负荷) | 手头项目：East数据质量AI分析、金牌催收员日常运维与功能迭代,非零BP,"[""长文本智能分析资源协调，完成指标计算模块的跨部门沟通与对齐"", ""信贷场景MVP项目复盘，输出监控告警模块的经验教训与改进措施"", ""授信政策知识体系预算管理，完成数据清洗模块的费用核算与控制""]","[""East数据质量AI分析"", ""金牌催收员日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""其他"", ""需求分析""]","[""实时开发平台"", ""DWS数据集群""]","{""总体饱和度"": 107.9, ""开发/实施占比"": 58.5, ""会议沟通占比"": 19.4, ""文档撰写占比"": 14.8, ""学习提升占比"": 7.2, ""负荷等级"": ""高负荷""}",,55,不及格,11802,2,16.6,80,78,81,74
107,300107,丁予海,智能应用二部,架构管理,30.0,女,本科,4.6,5.7,3.7,1,0,0,2,1,2,7.0,1,0,0,0,0,0,0,1,0,无,1,1,0,1,1,0,0,0,27,是,3,1,3,3,3,5,2,5,1,2,2,3,4,3,4,B-,A+,B,项目管理,游戏,丁予海（智能应用二部/架构管理） | 女，30.0岁，本科，行龄4.6年 | 绩效3.7分，日均工时7.0h，牵头项目2个 | 角色：组长/骨干 | 最强技能：应用开发能力(5分)、数据分析工具运用能力(3分)、营销运营能力(3分) | 软技能：任务拆解能力4分/团队合作4分/创新思维3分 | 360评价：上级B-/同级A+ | 岗位匹配：中(技能均分3.5) | 分组：服务支持组 | 工作类型：架构设计/技术评审/项目管理（含外包管理） | 饱和度：86.8%(饱和) | 手头项目：JSON转代码验证、零售客户分群、智能外呼分析、联机服务集群日常运维与功能迭代,AI产品运营组,"[""实时数据集群云原生架构规划，完成用户权限模块的容器化改造方案"", ""组织AI创意比赛技术分享，完成可视化组件的知识沉淀"", ""Hadoop数据仓库技术选型评估，完成API网关模块的POC验证与决策"", ""Hadoop集群云原生架构规划，完成Prompt管理模块的容器化改造方案"", ""尽调报告助手性能压测方案设计，完成Prompt管理模块的容量规划""]","[""JSON转代码验证"", ""零售客户分群"", ""智能外呼分析"", ""联机服务集群日常运维与功能迭代""]","[""架构设计"", ""技术评审"", ""项目管理（含外包管理）""]","[""数据运维平台"", ""数据测试平台""]","{""总体饱和度"": 86.8, ""开发/实施占比"": 52.9, ""会议沟通占比"": 22.0, ""文档撰写占比"": 8.4, ""学习提升占比"": 16.7, ""负荷等级"": ""饱和""}",,82,良好,13316,0,32.5,82,51,71,73
108,300108,闫辉雪,数据开发部,应用研发,22.6,男,本科,2.4,7.7,3.41,0,0,0,0,0,1,8.1,1,1,0,0,0,0,0,0,0,无,2,0,1,4,0,0,0,0,14,否,5,3,2,3,4,2,5,4,4,3,5,3,4,4,3,B-,B+,A-,编程,羽毛球,闫辉雪（数据开发部/应用研发） | 男，22.6岁，本科，行龄2.4年 | 绩效3.41分，日均工时8.1h，牵头项目1个 | 角色：组长/骨干、重点项目成员 | 最强技能：数据分析工具运用能力(5分)、技术架构设计(5分)、数据模型设计(4分) | 软技能：学习能力5分/任务拆解能力4分/领导力4分 | 360评价：上级B-/同级B+ | 岗位匹配：高(技能均分4.5) | 分组：运维支持组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：97.2%(高负荷) | 手头项目：East数据质量AI分析、统一调度平台日常运维与功能迭代,数仓开发组,"[""East数据质量分析微服务架构升级，完成数据清洗模块的服务拆分与治理"", ""参与信贷场景MVP代码评审，完成API网关模块的技术债务清理"", ""统一调度平台安全漏洞修复，完成模型训练层的代码审计与加固"", ""数据采集工具后端服务开发，完成缓存层的接口设计与实现"", ""参与智能外呼分析代码评审，完成前端展示层的技术债务清理""]","[""East数据质量AI分析"", ""统一调度平台日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""数据脱敏工具""]","{""总体饱和度"": 97.2, ""开发/实施占比"": 59.9, ""会议沟通占比"": 11.1, ""文档撰写占比"": 6.6, ""学习提升占比"": 22.4, ""负荷等级"": ""高负荷""}",,55,不及格,2566,1,16.8,51,80,61,81
109,300109,冯冬欢,信息管理部,数据研发,29.7,女,硕士,5.3,0.7,4.37,1,0,0,4,2,1,7.6,1,0,0,0,0,0,0,1,1,年度之星,1,2,1,1,1,1,1,2,18,否,5,3,3,3,4,3,4,3,4,4,4,3,3,5,4,A,A+,B,项目管理,音乐,冯冬欢（信息管理部/数据研发） | 女，29.7岁，硕士，行龄5.3年 | 绩效4.37分，日均工时7.6h，牵头项目1个 | 角色：组长/骨干 | 最强技能：数据分析工具运用能力(5分)、数据模型设计(4分)、技术架构设计(4分) | 软技能：领导力5分/学习能力4分/团队合作4分 | 360评价：上级A/同级A+ | 岗位匹配：中(技能均分3.3) | 分组：服务支持组 | 工作类型：开发（含模型、应用、数仓等）/测试/数据治理 | 饱和度：88.2%(饱和) | 手头项目：信贷场景MVP、Openclaw框架调研、数据运维平台日常运维与功能迭代,服务管理组,"[""Kafka消息集群SQL性能调优，解决用户权限模块慢查询问题"", ""智能数据血缘分析工具数据模型设计与开发，完成用户权限模块的ETL流程优化"", ""流水鉴真系统历史数据迁移，完成任务调度模块的数据校验与比对"", ""智能数据血缘分析工具历史数据迁移，完成测试框架的数据校验与比对""]","[""信贷场景MVP"", ""Openclaw框架调研"", ""数据运维平台日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""数据治理""]","[""数据安全脱敏网关系统"", ""智能数据血缘分析工具""]","{""总体饱和度"": 88.2, ""开发/实施占比"": 42.3, ""会议沟通占比"": 10.7, ""文档撰写占比"": 5.6, ""学习提升占比"": 41.5, ""负荷等级"": ""饱和""}",,68,及格,7898,0,15.5,38,41,84,79
110,300110,丁志,数据开发部,需求分析,38.6,女,本科,4.4,0.5,4.28,0,1,1,3,1,1,6.5,0,0,0,0,0,0,0,1,0,无,3,0,1,3,0,1,0,0,22,否,3,5,3,4,4,2,4,4,3,4,3,3,4,2,4,B-,A,B-,项目管理,羽毛球,丁志（数据开发部/需求分析） | 女，38.6岁，本科，行龄4.4年 | 绩效4.28分，日均工时6.5h，牵头项目1个 | 最强技能：算法模型开发能力(5分)、SQL开发(4分)、数据模型设计(4分) | 软技能：任务拆解能力4分/团队合作4分/学习能力3分 | 360评价：上级B-/同级A | 分组：标准质量组 | 工作类型：需求分析/数据分析/项目管理（含外包管理） | 饱和度：63.9%(偏低) | 手头项目：AI创意比赛、客服辅助项目、AI客户经营、East数据质量分析日常运维与功能迭代,应用开发组,"[""数据运维平台业务流程梳理，完成知识图谱模块的原型设计与验证"", ""会话式人工智能服务用户体验优化，完成任务调度模块的交互流程改进"", ""流水鉴真系统业务需求调研，完成消息队列模块的需求文档编写"", ""绿色金融业务管理业务流程梳理，完成Prompt管理模块的原型设计与验证"", ""离线数据开发用户访谈与痛点分析，输出数据接入层的需求规格说明书""]","[""AI创意比赛"", ""客服辅助项目"", ""AI客户经营"", ""East数据质量分析日常运维与功能迭代""]","[""需求分析"", ""数据分析"", ""项目管理（含外包管理）""]","[""大模型智能体"", ""智能问数助手""]","{""总体饱和度"": 63.9, ""开发/实施占比"": 60.2, ""会议沟通占比"": 18.0, ""文档撰写占比"": 13.9, ""学习提升占比"": 7.9, ""负荷等级"": ""偏低""}",,65,及格,4132,2,19.5,99,69,80,92
111,300111,覃紫湖,数据治理部,数据研发,30.6,女,本科,4.6,7.3,3.28,3,0,1,3,0,2,8.4,0,1,0,0,0,0,0,1,0,无,2,1,1,2,2,0,0,0,26,否,4,4,4,2,4,4,3,2,5,1,3,3,5,2,3,A+,A-,A+,无,烹饪,覃紫湖（数据治理部/数据研发） | 女，30.6岁，本科，行龄4.6年 | 绩效3.28分，日均工时8.4h，牵头项目2个 | 角色：重点项目成员 | 最强技能：数学与建模理论基础(5分)、数据分析工具运用能力(4分)、算法模型开发能力(4分) | 软技能：任务拆解能力5分/学习能力3分/创新思维3分 | 360评价：上级A+/同级A- | 岗位匹配：中(技能均分3.3) | 分组：架构安全组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：91.0%(饱和) | 手头项目：East数据质量AI分析、实时数据集群日常运维与功能迭代,数据安全组,"[""数据运维平台历史数据迁移，完成用户权限模块的数据校验与比对"", ""参与NL2SQL产品POC数据架构评审，输出缓存层技术方案"", ""参与火山引擎POC数据架构评审，输出可视化组件技术方案""]","[""East数据质量AI分析"", ""实时数据集群日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""Kafka消息集群""]","{""总体饱和度"": 91.0, ""开发/实施占比"": 41.2, ""会议沟通占比"": 23.4, ""文档撰写占比"": 12.0, ""学习提升占比"": 23.3, ""负荷等级"": ""饱和""}",,61,及格,8150,1,18.2,64,73,54,81
112,300112,吴卿学,智能应用二部,数据研发,31.6,女,本科,0.4,4.5,3.44,1,0,0,4,0,1,10.6,0,0,0,0,0,0,0,0,0,无,2,0,1,3,0,1,0,1,19,是,4,3,4,2,3,3,3,4,3,5,4,3,1,5,5,A,B-,B-,编程,摄影,吴卿学（智能应用二部/数据研发） | 女，31.6岁，本科，行龄0.4年 | 绩效3.44分，日均工时10.6h，牵头项目1个 | 最强技能：编程与工程实现(5分)、数据分析工具运用能力(4分)、营销运营能力(4分) | 软技能：领导力5分/团队合作5分/学习能力4分 | 360评价：上级A/同级B- | 岗位匹配：低-错配风险(技能均分2.7) | 分组：标准质量组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：102.5%(高负荷) | 手头项目：East数据质量AI分析、AI手机银行日常运维与功能迭代,对公应用组,"[""联机服务集群数据质量检核规则配置，修复数据接入层数据异常"", ""反电诈管理系统数仓分层建设，完成数据清洗模块的数据接入与清洗"", ""参与尽调报告智能体数据架构评审，输出缓存层技术方案"", ""数据运维平台数据接口开发，完成模型训练层的API联调与测试""]","[""East数据质量AI分析"", ""AI手机银行日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""数据脱敏工具""]","{""总体饱和度"": 102.5, ""开发/实施占比"": 55.9, ""会议沟通占比"": 22.9, ""文档撰写占比"": 8.8, ""学习提升占比"": 12.4, ""负荷等级"": ""高负荷""}",,79,良好,6026,0,15.6,95,86,72,58
